    0.000000   637.251282   129.791000
    1.000000   581.545410   125.738266
    2.000000   419.851379   122.716835
    3.000000   192.644531   164.641891
    4.000000   133.039703   164.335831
    5.000000   376.268860   198.555817
    6.000000   202.641327   126.242981
    7.000000   472.786072   187.216248
    8.000000   375.817322   129.697876
    9.000000   771.717712   203.476776
   10.000000   757.786194   168.479706
   12.000000   47.523743   95.799477
   13.000000   1125.241577   169.692383
   14.000000   176.062485   94.160652
   16.000000   234.324493   87.026085
   17.000000   341.882996   106.234879
   18.000000   471.208496   109.400169
   19.000000   680.571899   144.727020
   20.000000   946.574585   175.535797
   22.000000   22.575005   63.946651
   23.000000   1372.76477   157.064880
   24.000000   173.098755   68.205765
   26.000000   290.797180   70.006432
   27.000000   359.484680   87.721680
   28.000000   567.739014  101.668777
   30.000000   11.158894   45.584358
   31.000000   795.339111  104.488762
   32.000000   87.779579   46.935707
   34.000000   178.002106   51.255444
   35.000000   187.509018   56.731773
   37.000000   11.843031   35.871948
   38.000000   289.752045   60.879917
   39.000000   42.887726   36.240288
   41.000000   64.156380   38.789925
   42.000000   83.419968   39.132401
   43.000000   126.316078   44.596985
   44.000000   167.654587   46.943592
   45.000000   253.960663   58.041008
   46.000000   341.401947   65.919853
   48.000000   9.649925   31.456570
   49.000000   503.517242   71.706802
   50.000000   58.540226   34.420269
   52.000000   112.335403   37.143257
   53.000000   124.379143   41.023777
   54.000000   215.988129   47.581284
   55.000000   263.527618   56.364174
   57.000000   9.480939   27.482910
   59.000000   81.678520   33.496105
   60.000000   24.045479   27.446405
   61.000000   136.847336   39.041519
   62.000000   60.992306   30.560265
   64.000000   19.496239   26.757721
   65.000000   99.303024   33.563435
   66.000000   49.648663   29.529762
   68.000000   13.628883   25.014071
   69.000000   82.080292   32.087883
   70.000000   32.858418   26.321156
   72.000000   14.031702   24.708637
   73.000000   52.960300   27.746609
   74.000000   32.258640   26.261730
   75.000000   91.801247   31.236300
   76.000000   73.931793   30.425358
   78.000000   8.673849   23.034225
   79.000000   117.614082   33.678276
   80.000000   24.981987   23.993162
   82.000000   24.860870   24.154587
   83.000000   44.100555   25.499796
   84.000000   51.415119   26.690758
   85.000000   82.879852   29.137985
   86.000000   107.396942   32.444740
   87.000000   162.124191   37.305080
   89.000000   4.783819   21.500570
   90.000000   227.502686   40.566864
   91.000000   26.951538   22.808376
   93.000000   51.470383   24.453583
   94.000000   57.364140   25.866333
   95.000000   96.370712   28.936136
   96.000000   121.797615   32.623581
   98.000000   5.171850   20.051268
   99.000000   192.010269   36.638317
  100.000000   18.906769   20.615246
  102.000000   48.679268   23.537296
  103.000000   38.584393   22.475555
  105.000000   6.214671   19.214993
  106.000000   56.384167   23.885874
  107.000000   17.349785   20.153782
  109.000000   10.943300   19.306372
  110.000000   30.533667   21.286606
  111.000000   21.015678   20.178228
  112.000000   56.111458   23.753101
  113.000000   43.584049   22.396740
  115.000000   6.736774   18.661530
  116.000000   64.057060   24.107708
  117.000000   19.753914   19.807606
  119.000000   11.909719   18.852180
  120.000000   35.077332   21.156803
  121.000000   23.470156   19.921616
  122.000000   64.713379   24.049370
  123.000000   49.449024   22.562979
  125.000000   7.356641   18.210358
  126.000000   73.160500   24.617273
  127.000000   22.440489   19.584606
  129.000000   13.156763   18.539646
  130.000000   40.114998   21.165297
  131.000000   26.544220   19.841539
  133.000000   6.292377   17.697906
  134.000000   38.776642   20.892570
  135.000000   15.849232   18.523708
  137.000000   7.346815   17.646982
  138.000000   26.946850   19.458878
  139.000000   13.707373   18.218710
  140.000000   47.816925   21.448374
  141.000000   28.707890   19.746214
  143.000000   7.347754   17.409260
  144.000000   42.752811   21.017376
  145.000000   18.758671   18.444038
  147.000000   7.512545   17.348717
  148.000000   31.828243   19.562899
  149.000000   14.632597   18.025288
  151.000000   6.834136   17.070274
  152.000000   21.553539   18.641853
  153.000000   14.491209   17.737141
  154.000000   35.246246   20.027864
  155.000000   31.827024   19.422333
  157.000000   4.456463   16.773834
  158.000000   51.583897   20.980503
  159.000000   9.193400   17.151499
  161.000000   13.917168   17.367340
  162.000000   15.080700   17.721590
  163.000000   26.175163   18.523396
  164.000000   27.632187   19.034088
  165.000000   50.909805   20.962978
  166.000000   54.399208   21.915234
  168.000000   4.939528   16.504341
  169.000000   76.946968   23.846962
  170.000000   16.629879   17.479671
  172.000000   16.023918   17.592083
  173.000000   31.055231   18.801441
  174.000000   30.271757   19.120148
  176.000000   4.457475   16.220842
  177.000000   42.120895   20.176445
  178.000000   11.692564   16.790020
  180.000000   9.331710   16.722782
  181.000000   20.467695   17.553730
  182.000000   16.555248   17.494947
  183.000000   37.695984   19.199909
  184.000000   32.453598   19.228292
  186.000000   5.197282   16.101696
  187.000000   46.340477   20.512688
  188.000000   13.930201   16.841370
  190.000000   9.663347   16.624481
  191.000000   24.296091   17.751543
  192.000000   17.795362   17.508123
  194.000000   4.856348   15.915534
  195.000000   24.986805   18.186693
  196.000000   10.469555   16.369854
  198.000000   5.903393   16.093500
  199.000000   17.035843   16.914932
  200.000000   9.746903   16.508823
  201.000000   29.419613   18.074017
  202.000000   18.731251   17.508795
  204.000000   5.657584   15.854563
  205.000000   27.024445   18.317791
  206.000000   12.447495   16.441530
  208.000000   5.925920   15.996679
  209.000000   20.231937   17.098820
  210.000000   10.178628   16.463852
  211.000000   34.748718   18.478523
  212.000000   20.325760   17.606382
  214.000000   6.420387   15.827030
  215.000000   29.938019   18.555981
  216.000000   14.412543   16.542854
  218.000000   6.151412   15.942837
  219.000000   23.446423   17.317036
